net profit / total assets,current assets / short-term liabilities,[(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,sales / total assets,(gross profit + depreciation) / sales,(total liabilities * 365) / (gross profit + depreciation),sales (n) / sales (n-1),profit on operating activities / financial expenses,working capital / fixed assets,(current liabilities * 365) / cost of products sold,(current assets - inventories) / long-term liabilities,total liabilities / ((profit on operating activities + depreciation) * (12/365)),net profit / inventory,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),bankrupt
0.23708,0.72219,-47.968,2.5572,0.1197,785.08,0.91568,6.6562,-0.24668,85.25,2.0809,0.063067,1.6189,0.69404,0
0.13962,2.4714,50.232,1.7138,0.1097,960.91,1.0155,3.2028,1.4551,73.504,2.3457,0.062037,0.6284,0.27645,0
-0.015598,2.5273,34.866,1.4747,0.029275,2471.3,0.92892,-0.54367,1.3533,68.353,29.277,0.19038,-0.05724,-0.022041,0
0.10643,4.5451,72.452,1.1301,0.14739,293.99,1.056,1.2592,1.5095,45.663,35.912,0.0248,0.37693,0.1308,0
-0.01643,2.7798,87.197,0.62944,-0.026102,-7297.3,1.0078,0.29544,0.40713,442.39,2.3939,2.7451,-0.16502,-0.024466,0
-0.15845,1.8637,-72.693,0.6329,-0.36692,-797.77,0.54496,-3.3824,0.13434,98.313,0.46551,-0.077647,-0.90493,-0.49733,0
-0.027816,0.64129,-63.016,0.98286,0.0060789,24213.0,1.0743,-0.11724,-0.30045,127.0,3.741,0.85654,-0.42191,-0.091001,0
-0.067968,0.67285,-60.091,0.95395,-0.032803,-5222.4,0.86583,-0.61825,-0.16549,120.48,1.4457,-0.64743,-1.1425,-0.13925,0
-0.36876,1.1075,-39.047,0.89218,-0.2141,-427.05,0.70206,-1.9521,0.060585,76.221,7.2824,-0.042877,-1.7824,-0.58669,0
0.13168,2.7098,-23.596,2.1357,0.1671,675.35,1.06,3.3708,1.4671,49.562,0.57046,0.053989,0.2803,0.38764,0
0.23533,2.0407,31.25,2.4046,0.13278,691.84,1.501,10.755,1.4023,63.041,2.1907,0.058981,1.2083,0.59607,0
0.039877,0.76315,-23.234,2.2745,0.025964,5600.4,0.96534,2.4425,-0.17759,78.642,0.78342,0.34816,1.4409,0.42484,0
0.09349,4.1214,145.48,1.1513,0.12936,524.91,0.95737,1.2133,1.1487,62.459,3041.1,0.0365,0.89454,0.11897,0
0.14144,2.5654,36.386,1.1833,0.16075,487.72,1.2753,1.8307,0.55994,86.955,21.391,0.043377,0.6686,0.17776,0
0.017698,1.3119,-15.104,1.1236,0.053993,2981.8,0.80321,2.269,0.16155,103.45,4.1352,0.21035,0.1334,0.035087,0
0.060999,0.79123,-92.45,1.0266,0.077943,1452.8,1.1418,0.35086,-0.18155,116.12,237.55,0.15293,0.22279,0.15166,0
0.0027911,0.95785,-150.6,0.97757,0.04838,5700.8,0.98593,-0.16427,-0.034562,210.42,1.377,0.92658,0.010653,0.0071902,0
-0.35501,0.68577,-85.602,1.2366,-0.22454,-747.21,0.61914,-100.67,-0.22326,123.21,1.8728,-0.069077,-2.2506,0.0,0
0.08548,0.67597,-121.02,1.188,0.10665,2004.2,1.091,1.8992,-0.63618,213.02,2.4198,0.10096,0.47998,-1.9917,0
0.082967,3.1822,86.179,0.82763,0.18195,1106.1,0.97791,10.966,0.52635,66.904,3.332,0.095919,0.82015,0.15261,0
-0.0075087,1.1371,-20.886,1.1352,-0.042171,-2641.2,0.81105,0.83739,0.01909,86.961,1.7392,0.11123,-0.17977,-0.0093029,0
-0.0095838,2.6524,-37.274,1.0696,0.016755,5715.9,1.2112,0.13102,0.98558,68.618,0.94565,0.23766,-0.018976,-0.014726,0
0.010486,1.1483,-65.602,1.0499,0.1147,2455.6,0.87678,0.2625,0.030996,134.73,0.4674,0.21654,0.10549,0.016982,0
0.0010924,1.921,-26.233,0.67962,0.16251,1109.5,0.7108,1.3823,0.41492,130.79,3.7998,0.095192,0.0041665,0.0016446,0
0.028361,1.2054,-33.883,1.8161,0.065561,2436.6,0.90494,1.7024,0.41077,120.04,2.3775,0.1665,0.10302,0.13823,0
0.27736,3.0896,53.78,1.9188,0.1582,332.88,1.0755,86.697,3.0216,58.502,45.055,0.030244,1.0693,0.38354,0
-0.22376,0.89077,-152.32,0.88443,-0.1799,-1916.9,0.8481,-2.0619,-0.16222,236.82,1.4191,-0.20975,-0.72571,-1.4498,0
0.012675,1.4054,0.92199,1.0651,0.050012,5481.4,1.0909,0.69728,0.26292,126.61,0.78373,0.24072,0.097867,0.058677,0
0.20365,1.5535,-8.5519,1.131,0.16655,304.6,0.94172,1.3313,0.29485,57.306,966.32,0.028068,2.1288,0.29063,0
0.12848,3.7984,43.183,0.91446,0.21651,465.91,1.1414,6.4462,0.17878,25.787,2.1429,0.037254,2.0958,0.17193,0
0.065445,3.4102,60.47,1.1547,0.092392,2003.0,1.2923,3.1938,1.8036,73.795,1.0253,0.14294,0.19583,0.15787,0
0.13084,3.1733,17.315,1.0228,0.087499,381.39,1.5887,0.68913,1.1381,32.182,25.413,0.03592,0.40702,0.19312,0
0.0078828,0.30026,-205.28,0.71544,0.081114,4994.4,0.88262,0.85555,-0.48653,234.07,0.94902,0.26248,0.1415,0.03828,0
0.02584,3.0642,27.223,1.048,0.12152,587.81,0.98817,0.41503,0.73737,55.887,4.3046,0.050729,0.094531,0.035818,0
0.04129,1.3859,-64.478,1.0738,0.082786,1582.7,0.90701,0.76703,0.19769,131.13,8.9972,0.10917,0.18881,0.061081,0
0.093897,2.0487,5.6851,2.0402,0.10214,1264.9,1.1729,3.6904,0.38629,39.213,0.51583,0.10995,0.50763,0.33797,0
0.11394,1.2332,-43.184,1.1649,0.10232,1501.3,0.96394,0.0,0.13024,132.0,1.5913,3.1132,0.61417,0.22352,0
0.066929,7.2923,138.59,1.0909,0.099683,282.63,0.75824,0.91005,1.5762,29.286,115.18,0.022653,0.47184,0.078652,0
0.018898,1.8622,42.339,0.72808,0.10677,3476.8,0.72861,1.165,0.84525,177.96,1.7951,0.22261,0.086286,0.072819,0
0.011931,1.1214,-42.105,1.5374,0.023919,5544.0,0.9274,1.5888,0.11309,111.0,2.7604,0.34649,0.052588,0.027026,0
0.066428,3.5322,64.647,1.0722,0.08265,603.58,0.94857,0.67462,1.5829,44.562,12.787,0.046895,0.35123,0.095581,0
0.1281,0.87594,-69.023,1.0775,0.063413,1415.6,1.0448,0.71657,-0.44129,96.684,675.86,0.096736,0.25442,1.0602,0
0.34101,1.0847,-16.571,2.8198,0.13735,813.06,0.6256,8.6149,0.37839,112.85,6.7275,0.069909,2.0529,2.484,0
0.14426,1.6768,-59.377,1.114,0.12421,1018.2,0.86151,1.2389,2.1446,140.43,183.32,0.083664,0.26405,0.29654,0
0.27024,2.0259,58.463,1.2794,0.28007,306.86,1.4267,3.2261,0.62263,91.436,8.1698,0.026573,2.6717,0.43092,0
0.14058,2.5532,1.2922,1.2673,0.17951,1071.2,1.8975,8.952,0.73901,69.599,1.0153,0.089138,0.44023,0.42303,0
0.12338,2.7562,45.102,1.1392,0.14488,660.87,1.1027,5.8822,0.45017,55.328,1.9229,0.053221,0.88099,0.17596,0
0.22137,1.2337,-32.651,4.5706,0.074541,1013.9,1.169,3.7424,0.89459,57.45,1.0569,0.074058,0.41612,4.1296,0
-0.038675,1.4032,-49.347,0.96494,0.033476,8502.7,1.2264,-0.095501,0.12646,114.2,0.43748,0.31932,-0.2252,-0.09211,0
0.0050028,2.3062,41.23,0.95595,0.11912,1363.6,0.91799,0.1862,0.17993,101.06,3.1857,0.10699,0.080227,0.0063135,0
0.0080621,2.3148,-103.93,1.0869,0.027401,4157.8,1.4334,0.67731,2.169,115.0,1.3271,0.12929,0.010642,0.012852,0
0.049283,4.7455,46.124,0.74534,0.10382,1607.1,0.85413,1.4112,0.86913,57.833,0.87012,0.13361,0.15225,0.074754,0
-0.069482,2.9535,7.4825,0.97288,-0.021437,-10968.0,1.0,-0.35589,0.80119,44.94,0.2864,-1.9968,-0.21021,-1.7712,0
0.070335,1.2227,-35.857,1.0996,0.10446,1950.2,0.98693,0.85203,0.21842,160.75,2.006,0.15478,0.364,0.2063,0
0.013848,1.4874,1.2015,2.177,0.033681,2169.9,1.034,2.1539,0.18884,41.187,1.3714,0.17075,0.132,0.024549,0
-0.11163,2.1289,9.7657,0.89136,0.051739,3732.8,1.2805,-0.99756,0.23342,59.469,0.6515,0.22734,-0.86924,-0.20406,0
-0.15237,10.496,136.58,0.77595,-0.18117,-227.66,1.6487,-2.0086,3.1321,30.787,231.97,-0.016903,-1.5503,-0.17731,0
0.025295,2.8331,27.89,0.80988,0.1005,815.55,1.1043,4.619,0.4222,75.551,5.1817,0.079616,0.14476,0.0,0
0.016686,7.2803,324.39,0.3408,0.11626,1020.9,0.4969,1.1631,0.48039,70.395,13.15,0.08793,0.19288,0.018765,0
0.18553,2.9657,53.564,1.6015,0.19542,339.29,0.83202,25.266,0.82558,50.534,3.7282,0.03068,1.1088,0.26165,0
0.4238,1.5139,-12.237,1.168,0.12859,408.76,2.4126,1.6404,2.4094,60.624,69.726,0.03329,1.1628,1.0261,0
0.090313,1.1945,-70.559,0.98727,0.062631,1623.0,1.2845,0.52854,0.21561,77.441,0.31305,0.13627,0.17184,0.25969,0
-0.049209,1.6178,14.605,0.75141,-0.033148,-7411.2,0.6881,0.23568,0.308,130.65,1.3779,0.34687,-0.37575,-0.09956,0
-0.12791,1.0863,-134.4,0.64047,-0.18131,-3147.0,1.0175,-4.9372,2.8503,420.58,5.7719,-0.26713,-0.35234,106.34,0
0.15888,1.5508,23.312,3.7103,0.76872,74.519,1.1198,0.0,3.0077,1356.0,80.616,0.0072068,0.35685,0.38039,0
0.063277,1.6642,-26.801,0.88536,0.16642,667.72,0.97319,5.8818,0.097201,62.979,0.68732,0.056918,0.69172,0.0,0
0.18767,1.5448,24.312,1.171,0.20195,478.29,1.2292,2.1903,0.394,108.76,30.546,0.040724,1.6965,0.29712,0
0.092454,4.4885,198.73,0.72188,0.24124,303.87,1.0068,14.277,0.71868,92.546,9.6907,0.027542,0.54417,0.10813,0
-0.16931,2.0495,20.932,2.3455,-0.026994,-5671.2,0.82951,-0.67352,1.7239,63.478,0.84568,1.2198,-0.62521,-10.401,0
0.061842,3.1041,25.069,1.0533,0.040313,2057.9,1.2485,0.47578,5.0802,47.353,1.8506,0.14879,0.14131,0.13012,0
0.0343,4.3811,53.278,1.0348,0.039042,1170.9,0.98568,0.3002,3.8494,43.752,27.658,0.096848,0.084491,0.043947,0
-0.073511,1.2461,-54.996,1.6869,-0.026643,-4451.5,0.95694,-2.6717,0.22522,89.348,1.5679,-0.64596,-0.20364,-0.16268,0
0.0048772,1.6206,-8.1328,1.768,0.036193,3540.6,0.85845,0.77805,2.9674,114.69,6.9249,0.23765,0.013115,0.012859,0
0.15457,0.87879,-92.488,1.1462,0.19748,703.82,0.8353,1.3881,-0.07769,129.96,1.5375,0.062136,0.70938,0.31078,0
0.11533,2.0062,20.45,1.067,0.10005,1100.7,1.4593,0.67183,0.99613,54.2,1.1971,0.08706,0.57203,0.41896,0
-0.14941,3.8749,14.704,0.85487,-0.073455,-999.66,0.56265,-8.7583,1.1586,59.452,13.396,-0.11433,-0.36146,-0.18044,0
0.17458,4.7482,141.02,1.7941,0.10443,750.98,1.2448,0.0,4.4734,54.701,3.1698,1.0061,0.8927,0.28409,0
0.067715,1.9894,-84.846,2.928,0.35156,153.8,1.0402,0.0,2.0625,92.685,9.461,0.015035,0.12388,0.11959,0
0.067822,1.1857,-60.739,1.3059,0.077036,2212.0,0.8241,2.5214,0.11287,104.86,0.59269,0.19489,0.25412,0.17375,0
-0.0037389,3.9878,4.7408,2.8142,0.0084824,9124.8,1.1454,-0.7256,10.026,30.166,0.74702,1.0658,-0.0056738,-0.0092723,0
0.00083563,0.90768,-43.485,1.7371,0.050573,2658.8,0.86564,0.46475,-0.066804,96.314,1.6127,0.21756,0.0063595,0.0023206,0
-0.44577,0.60785,-257.11,0.69946,-0.44389,-1787.9,0.29982,-3.3133,-0.77752,289.01,0.15534,-0.1769,-1.0666,0.59264,0
0.064059,0.59186,-169.23,1.4626,0.090562,2530.2,0.5869,3.5477,-0.71338,237.9,4.5644,0.18798,0.26803,0.78298,0
0.036348,1.958,49.611,1.0571,0.18678,839.31,0.65813,1.0177,0.43401,135.46,5.9847,0.064708,0.24369,0.056955,0
0.080191,1.8525,-35.328,2.2624,0.11688,919.29,0.93087,0.0,1.9221,122.34,1.4512,0.1205,0.16976,0.24008,0
0.096729,1.4739,88.008,2.1338,0.67507,212.9,1.3287,0.0,2.0934,849.39,1.2949,0.020843,0.17899,0.60535,0
0.35939,2.2873,-55.656,0.84633,0.55415,266.84,0.82571,3.7247,1.4088,114.25,17.99,0.023418,2.0141,0.57841,0
-0.073374,2.3854,-111.95,0.8483,-0.094472,-3241.4,1.1817,-1.3687,2.2548,247.6,46.101,-0.29507,-1.8417,-0.14158,0
-0.17851,6.1395,41.102,0.9564,-0.14518,-651.82,0.94491,0.1815,0.98871,35.277,1.2218,0.10255,-0.51536,-0.23737,0
0.093455,1.9637,6.0356,1.1317,0.11255,1898.4,1.0429,1.3289,0.44189,77.434,0.51149,0.12707,0.44114,0.38292,0
0.17343,2.1034,6.4371,4.2957,0.05924,1089.0,1.5516,1.8686,2.828,36.577,5.4911,0.07463,0.51614,0.72038,0
-0.056048,2.5067,36.935,0.94238,0.024725,4615.1,0.9511,0.0,0.78948,130.71,53.922,0.12376,-0.19795,-0.079457,0
0.38422,1.5368,21.618,1.1864,0.22057,284.12,1.1457,2.6593,0.34413,67.946,14.195,0.021876,5.9869,0.62579,0
-0.034163,3.8553,15.378,1.189,0.16036,1186.9,2.1352,-0.36133,5.3232,69.425,1.3423,0.095794,-0.090782,-0.089906,0
0.071438,2.2805,22.198,2.2764,0.054728,1105.0,0.842,15.861,2.3006,57.663,19.819,0.10196,0.22724,0.1147,0
0.031736,0.72333,-126.4,1.1752,0.062103,3861.7,1.0501,1.8516,-0.16949,189.89,0.72408,0.11579,0.2006,0.08751,0
0.056348,0.59994,-204.1,0.38585,0.23292,2684.6,1.1052,2.9589,-0.16203,402.43,0.51326,0.19968,2.3533,0.16622,0
0.036507,1.2208,-36.783,2.4445,0.043142,2520.1,0.94919,1.5667,0.24838,72.164,1.3305,0.17606,0.10786,0.13429,0
0.21078,2.4242,117.18,1.0135,0.29768,303.9,0.73029,37.638,0.47482,87.849,6.3144,0.02801,8.4095,0.28149,0
0.12817,0.82035,-35.334,1.1458,0.12775,1052.3,1.4586,1.523,-0.12222,117.39,2.2556,0.078462,2.5241,0.32016,0
0.08588,2.4734,30.531,1.0667,0.09537,675.26,0.82357,0.58586,0.95316,53.718,5.6275,0.06506,0.38178,0.13785,0
-0.0049464,2.3062,10.597,0.79875,0.048471,1522.2,0.80979,-11.52,0.2476,59.163,13.442,0.32487,-0.033854,-0.0058988,0
0.20969,1.568,-24.85,1.1539,0.18262,392.9,0.95782,1.5561,0.30107,72.727,5.0225,0.033594,0.82986,0.32592,0
0.05498,0.61697,-64.349,1.2875,0.15014,973.11,0.98413,2.3378,-0.18381,109.27,1.1986,0.078092,1.0084,0.11345,0
0.1302,1.7066,-2.1567,2.6229,0.080615,899.61,1.1531,7.1392,1.2334,64.476,5.8336,0.073163,0.40916,0.2719,0
0.0,1.9657,24.238,1.2443,0.0053281,10642.0,1.0523,0.0,0.24978,61.277,54.573,0.48907,0.0,0.0,0
0.044746,1.9725,67.513,1.1365,0.20955,1522.8,1.1641,1.3344,0.24902,103.82,0.62709,0.11662,0.64287,0.17056,0
0.41055,4.7876,71.506,1.9831,0.25873,226.62,1.5519,4533.0,36.652,50.098,164.5,0.021371,3.6805,0.60247,0
0.16229,2.6635,20.602,1.1526,0.11556,226.31,0.9649,1.4698,0.43748,23.12,6.2537,0.013827,1.3743,0.20689,0
0.069955,1.1632,-42.461,1.0955,0.16432,739.56,1.2093,0.97196,0.040859,123.67,9.0661,0.066804,0.76726,0.088409,0
0.27575,2.4148,76.674,0.71629,0.53289,393.53,0.92591,13.751,0.36035,100.01,1.5727,0.034338,2.582,0.46859,0
0.039276,0.73936,-22.543,2.4915,0.040674,2366.9,0.92477,0.0,-0.08448,46.759,0.47536,0.35295,0.83369,0.11456,0
0.038221,1.1883,-11.006,4.2482,0.019137,3318.1,1.0666,2.6352,0.90688,62.182,26.013,0.2823,0.14618,0.14647,0
0.19459,4.505,365.38,0.6854,0.35347,300.86,1.1863,42.094,1.4098,106.79,12.659,0.028412,6.0872,0.24314,0
0.14505,3.9073,167.3,1.8025,0.19874,246.49,0.98143,0.0,2.1433,65.123,137.41,0.037828,0.93139,0.19134,0
-0.058672,1.1637,-37.822,0.96185,-0.01121,-21903.0,0.9366,-5.3424,0.094876,124.38,2.4558,-4.0236,-0.38561,-0.16622,0
-0.31478,0.70147,-17.368,2.2011,-0.10902,-872.44,0.86901,-3.329,-0.12439,47.315,0.83176,-0.086614,-18.198,-0.73817,0
0.038429,1.0239,-53.337,0.96534,0.13449,1224.5,1.0003,6.1429,0.010917,127.59,2.5111,0.10788,0.30421,0.068085,0
0.042225,4.7001,11.287,1.0733,0.15647,212.66,0.86456,0.71739,0.31302,31.847,11.343,0.01799,0.20997,0.045775,0
-0.082964,2.1152,4.8551,3.014,-0.0080274,-4135.0,0.83275,-6.6673,0.65292,30.569,45.287,-0.28903,-0.35779,-0.11429,0
0.0020882,1.4486,-133.2,0.82724,0.10346,2167.0,0.99967,1.572,0.46734,184.59,8.8776,0.17624,0.0046422,0.0042453,0
0.0054934,3.2392,146.04,1.3186,0.088888,827.83,1.1003,0.0,3.1355,136.25,134.28,0.079318,0.017313,0.0074826,0
0.53254,1.858,51.11,1.4566,0.34752,179.81,1.3498,4.4882,0.7244,81.917,14.469,0.016224,6.4589,0.87591,0
0.012675,1.4054,0.92199,1.0651,0.050012,5481.4,1.0909,0.69728,0.26292,126.61,0.78373,0.24072,0.097867,0.058677,0
0.12019,2.4122,50.066,1.4208,0.11781,1006.3,0.93785,12.551,0.48083,55.567,1.5373,0.087233,1.3827,0.22318,0
0.066803,1.2516,-61.93,1.7731,0.079862,1550.8,0.9283,2.5576,0.33256,105.58,2.2361,0.11542,0.16664,0.16769,0
-0.016498,1.2275,-18.003,1.5024,0.021734,9159.9,0.93876,-0.019275,0.11872,76.959,0.49966,0.57106,-0.11789,-0.091385,0
0.5013,2.2523,49.197,3.0741,0.21204,249.31,0.93093,11.46,7.0276,62.334,22.154,0.020947,2.812,0.90359,0
0.11655,1.6162,4.3414,1.3975,0.12809,696.94,0.73817,9.3318,0.40237,94.151,82.839,0.059122,0.73107,0.17707,0
0.17669,2.0656,49.899,0.96828,0.32704,276.0,0.91563,0.0,0.24421,113.65,2.5004,0.057025,1.5845,0.23232,0
0.10929,1.6242,5.8949,1.0946,0.11247,701.68,1.0442,0.90726,0.48204,75.122,7.2497,0.059414,0.59306,0.18202,0
0.042443,3.3162,70.33,2.2024,0.059779,845.25,0.92646,8.069,1.9647,38.027,7.9268,0.073644,0.50303,0.06106,0
0.29798,1.709,18.64,5.4,0.06052,656.89,1.1136,280.84,2.0654,34.793,7.7827,0.059795,3.6198,0.72353,0
-0.12093,1.989,-3.245,0.86945,-0.073082,-3666.7,0.71881,-1.59,0.50423,95.802,0.7562,-1.2526,-0.46774,-0.33435,0
0.0041175,1.0836,-130.69,0.66208,0.010547,36620.0,0.7554,0.0,0.036254,235.05,0.42263,8.1502,0.027367,0.013751,0
0.14997,0.97409,-64.997,1.1582,0.21756,605.81,1.0407,1.6774,-0.021901,147.16,18.053,0.052103,1.0759,0.29277,0
-0.018829,0.73824,-85.798,1.039,0.090616,2836.0,0.63861,-0.18469,-0.20198,167.49,1.5482,0.21386,-0.21747,-0.07014,0
0.022677,0.71011,-110.58,1.0508,0.058972,4790.2,1.0135,0.58795,-0.35894,242.75,2.5237,0.27205,0.233,0.12684,0
0.20652,1.6539,50.028,1.115,0.2726,904.69,0.86433,10.036,0.44524,138.08,1.0023,0.082426,2.1396,0.83728,0
0.095695,2.6234,49.223,1.7229,0.066054,1574.0,1.1032,0.0,0.69503,59.82,2.8349,0.90318,0.67002,0.18793,0
0.059759,3.1567,-3.5949,0.74269,0.16207,1373.7,0.90841,1.9708,0.26996,49.662,0.32134,0.11426,0.35883,0.10925,0
0.027152,0.14602,-1203.6,0.1548,0.070799,19978.0,0.49096,1.0298,-0.37214,1287.6,0.23109,0.22231,1.7098,0.067857,0
0.013014,3.4153,-20.783,0.79211,0.075122,2635.8,0.7699,1.2452,1.4702,98.119,0.70403,0.14868,0.025424,0.02282,0
-0.084438,0.51799,-505.89,0.24736,-0.11506,-9463.6,0.38129,-4.1751,-0.30096,562.21,0.45949,-1.8723,-0.68826,-0.32219,0
-0.015001,2.5598,190.87,1.0433,0.1663,4963.5,466.32,0.50608,0.1247,124.99,0.37319,0.25726,-0.62478,-0.027839,0
0.11006,1.3036,-32.073,1.8268,0.12195,709.94,1.0529,5.823,0.17496,71.345,2.2658,0.059571,0.4798,0.19423,0
0.00072534,8.6413,55.709,1.0585,0.034319,1762.5,0.86985,1.0226,0.94886,20.91,2.6282,0.11262,0.0025574,0.00087964,0
0.13238,9.865,283.69,1.2383,0.29723,189.17,0.91291,2.3277,1.579,45.716,16.499,0.019517,1.6593,0.14698,0
0.20946,1.509,2.2157,2.8297,0.23701,338.01,1.3636,0.0,1.6568,113.52,9.3967,0.044888,0.78911,0.55278,0
0.13896,0.85698,-124.19,1.83,0.090115,2076.4,0.92636,5.6846,-0.3101,163.39,1.029,0.19284,0.29815,2.247,0
0.071315,1.1856,-7.6377,3.5566,0.031778,2752.1,1.5924,1.3411,0.69268,75.179,3.9037,0.094392,0.4084,0.48244,0
0.076216,0.97157,-37.681,1.0511,0.066419,1794.1,1.2398,0.44483,-0.037399,121.74,24.224,0.1385,0.48263,0.18999,0
0.033767,1.5696,-80.787,0.89063,0.11198,3203.7,0.98543,2.7328,0.79937,184.51,0.5995,0.32446,0.079078,0.2709,0
0.05746,3.1386,160.05,0.54676,0.43932,150.94,1.0109,225.37,0.18231,50.903,7.9998,0.013896,36.272,0.063797,0
0.19786,9.3423,-323.32,1.7135,0.45521,112.08,1.1151,0.0,6.7038,193.22,4.0746,0.013715,0.47989,0.26018,0
0.12298,2.5671,132.13,1.3297,0.15545,586.35,0.91204,0.0028329,1.5152,130.56,229.62,0.13207,0.67993,0.18412,0
0.0012935,1.1043,-79.565,0.7064,0.29586,888.98,0.90406,0.94403,0.092287,198.31,5.2052,0.071421,0.0071638,0.0026345,0
0.075373,0.4697,-134.31,0.87099,0.10077,3213.9,0.70318,0.0,-0.21082,176.16,0.19764,2.0779,1.0249,0.33181,0
0.052888,1.4104,-34.328,1.728,0.075439,1704.3,1.2062,5.7681,0.40728,92.552,1.3953,0.14319,0.16777,0.13516,0
0.060937,1.7065,12.664,1.6551,0.098691,749.47,1.1923,9.7665,0.47079,72.326,32.419,0.06791,0.366,0.091691,0
0.049873,0.85595,-68.609,1.1332,0.062386,3927.0,0.80985,3.0381,-0.10549,154.56,0.88532,0.26807,0.43772,0.20836,0
0.042441,1.2261,-14.517,1.4687,0.063434,2001.0,0.75209,2.6355,0.17344,102.66,3.7876,0.13438,0.29709,0.086746,0
0.063083,1.6506,10.587,1.2459,0.10573,953.92,0.96957,7.2404,0.31949,94.03,182.94,0.080092,0.43068,0.096203,0
0.13428,1.8184,27.907,1.1438,0.15958,465.82,1.049,1.4501,0.53559,84.439,190.05,0.03885,0.90484,0.19224,0
-0.040637,1.4657,-13.392,3.449,-0.0018584,-36221.0,0.95592,0.0,0.48062,50.405,1.8879,0.61946,-0.14184,-0.11166,0
0.014022,2.4466,13.999,1.6211,0.01967,3148.8,0.92514,1.5776,0.82108,53.53,13.67,0.19866,0.050248,0.019343,0
0.075474,7.6515,140.98,1.8501,0.24075,221.03,0.84057,0.0,1.4928,27.689,2.1304,0.024304,0.29236,0.10335,0
0.0678,0.51126,-114.92,1.1179,0.17372,1963.2,1.2903,0.93269,-0.29011,177.03,0.36547,0.16344,1.6606,7.576,0
0.016454,1.1998,-12.927,3.3383,0.016634,5355.2,1.2748,1.8031,5.3065,89.586,112.86,0.3309,0.074471,0.088803,0
0.034213,1.5634,36.795,1.2737,0.057723,2165.4,0.92154,1.9683,0.62175,118.04,17.059,0.1569,0.34128,0.060681,0
0.32764,2.147,-11.183,1.2279,0.238,185.06,1.1213,2.3678,0.34786,38.308,1.7876,0.016468,1.2643,0.44914,0
-0.14145,1.8435,-4616.5,1.6577,0.29185,289.57,0.85349,0.0,0.71913,191.13,4.8262,0.020462,-0.37711,-0.22956,0
0.092942,2.7544,48.124,1.1953,0.083058,1774.8,0.71489,22.915,2.9768,98.29,2.6376,0.16444,0.25305,0.17968,0
-0.022741,1.216,-49.988,0.98382,0.036601,3262.4,0.96638,-0.086693,0.12188,116.45,67.296,0.21587,-0.10937,-0.034457,0
0.035539,1.5727,-4.925,1.281,0.046662,4784.0,1.0624,5.4843,0.32737,73.318,0.63048,0.38948,0.18456,0.16413,0
0.31474,6.1068,99.696,1.5372,0.23811,125.86,1.1576,17.217,1.345,30.582,25.059,0.010945,1.6217,0.3602,0
0.086448,0.57124,-106.3,1.0263,0.18627,1211.7,1.2217,1.6415,-0.23621,177.68,1.437,0.091985,1.5297,0.27825,0
0.24793,3.2416,60.996,0.76327,0.34663,161.39,1.2522,26.835,0.11235,29.161,1.8007,0.014884,36.8,0.28078,0
0.062555,1.494,2.4736,1.0448,0.072161,942.83,1.0661,0.40143,0.10723,26.876,0.74173,0.07879,1.393,0.11147,0
0.019215,1.2617,-5.1891,2.4564,0.038015,2141.0,1.0391,0.0,0.13906,55.659,1.2861,0.24618,0.17695,0.042488,0
0.019949,1.0569,-41.222,2.094,0.029686,4310.1,0.86947,2.3072,0.091139,105.37,4.5402,0.33286,0.077089,0.075006,0
0.080583,1.2119,6.7932,0.92854,0.16817,1865.9,1.0217,3.772,0.084096,116.24,0.56965,0.14605,2.1766,0.39948,0
-0.12817,0.15572,-439.9,0.31552,-0.32463,-2773.3,0.58655,-6.018,-0.46448,432.81,0.06027,-0.29625,-2.0377,-0.57798,0
0.017497,1.3843,-14.623,0.89208,0.084398,1853.2,0.8433,1.2569,0.15776,115.44,2.3033,0.15125,0.18564,0.028324,0
0.043891,1.1504,-31.123,1.0055,0.090636,2085.4,0.98755,2.1417,0.049971,106.49,0.63045,0.17947,0.43934,0.0,0
-0.29124,1.4991,-0.27771,0.53297,-0.60737,-2163.2,0.69605,-4.64,0.10311,91.92,0.15274,-0.19545,-3.7814,1.3391,0
0.10215,2.7212,87.641,1.2262,0.16108,617.02,1.1991,4.5021,1.2214,80.816,5.7608,0.056057,0.6526,0.15335,0
-0.27258,1.8495,-205.98,0.44713,-0.58252,-1072.1,0.79504,-30.447,4.6769,244.14,0.2961,-0.098362,-0.32847,-1.16,0
0.29093,1.8,48.864,2.7359,0.13529,652.99,4.6352,4.1163,16.644,86.563,7.0217,0.048299,2.3544,0.86127,0
0.012573,0.72057,-90.89,0.57789,0.075296,5268.2,0.43552,1.4928,-0.12438,220.43,1.6514,0.48081,0.35386,0.033803,0
0.25723,5.2298,63.137,3.4058,0.09507,1083.2,0.82064,598.51,6.1021,19.813,0.91199,0.1047,1.4356,6.5819,0
0.21935,1.7938,22.883,1.8165,0.16469,572.66,1.0465,12.056,0.38693,61.888,2.1231,0.05118,1.995,0.41337,0
0.0,1.3293,-24.75,2.7343,0.027614,3544.4,0.79191,0.96616,7.2733,91.317,122.32,0.15987,0.0,0.0,0
0.069157,0.6149,-225.11,1.0553,0.20716,1299.5,0.83314,0.0,-0.24501,247.49,0.45332,0.17359,0.50974,0.31199,0
